偽錫泣恫炎才偽已�鯀� x, y, z, i, j, k 、紗堀業 a
74.968400, -35.117800, 112.894600, -0.037177, 0.939932, 0.000000、0.000000
74.956841, -35.116515, 112.896889, -0.036890, 0.939908, 0.000000、280.891162
74.956557, -35.116483, 112.896945, -0.036883, 0.939908, 0.000000、10.189297
74.956266, -35.116451, 112.897003, -0.036876, 0.939907, 0.000000、7.160595
74.955968, -35.116418, 112.897062, -0.036868, 0.939907, 0.000000、7.295740
74.955663, -35.116384, 112.897122, -0.036861, 0.939906, 0.000000、7.472313
74.955350, -35.116349, 112.897184, -0.036853, 0.939905, 0.000000、7.653550
74.955030, -35.116313, 112.897247, -0.036845, 0.939905, 0.000000、7.839114
74.954702, -35.116277, 112.897312, -0.036837, 0.939904, 0.000000、8.029100
74.954366, -35.116240, 112.897379, -0.036829, 0.939904, 0.000000、8.223608
74.954021, -35.116201, 112.897447, -0.036820, 0.939903, 0.000000、8.422742
74.953668, -35.116162, 112.897517, -0.036811, 0.939902, 0.000000、8.626608
74.953307, -35.116122, 112.897589, -0.036802, 0.939901, 0.000000、8.835314
74.952937, -35.116081, 112.897662, -0.036793, 0.939901, 0.000000、9.048970
74.952557, -35.116038, 112.897737, -0.036784, 0.939900, 0.000000、9.267688
74.952169, -35.115995, 112.897814, -0.036774, 0.939899, 0.000000、9.491585
74.951771, -35.115951, 112.897893, -0.036764, 0.939898, 0.000000、9.720775
74.951363, -35.115905, 112.897973, -0.036754, 0.939898, 0.000000、9.955380
74.950945, -35.115859, 112.898056, -0.036744, 0.939897, 0.000000、10.195522
74.950518, -35.115811, 112.898141, -0.036733, 0.939896, 0.000000、10.441323
74.950079, -35.115762, 112.898227, -0.036722, 0.939895, 0.000000、10.692913
74.949630, -35.115712, 112.898316, -0.036711, 0.939894, 0.000000、10.950419
74.949170, -35.115661, 112.898407, -0.036700, 0.939893, 0.000000、11.213974
74.948699, -35.115609, 112.898500, -0.036688, 0.939892, 0.000000、11.483713
74.948217, -35.115555, 112.898596, -0.036676, 0.939891, 0.000000、11.759772
74.947722, -35.115500, 112.898694, -0.036664, 0.939890, 0.000000、12.042292
74.947216, -35.115444, 112.898794, -0.036651, 0.939889, 0.000000、12.331416
74.946697, -35.115386, 112.898896, -0.036638, 0.939888, 0.000000、12.627287
74.946166, -35.115327, 112.899001, -0.036625, 0.939887, 0.000000、12.930055
74.945622, -35.115266, 112.899109, -0.036612, 0.939886, 0.000000、13.239870
74.945064, -35.115204, 112.899219, -0.036598, 0.939885, 0.000000、13.556886
74.944493, -35.115140, 112.899332, -0.036584, 0.939884, 0.000000、13.881259
74.943909, -35.115075, 112.899448, -0.036569, 0.939883, 0.000000、14.213148
74.943310, -35.115008, 112.899566, -0.036554, 0.939881, 0.000000、14.552716
74.942696, -35.114940, 112.899688, -0.036539, 0.939880, 0.000000、14.900127
74.942068, -35.114870, 112.899812, -0.036524, 0.939879, 0.000000、15.255550
74.941424, -35.114798, 112.899939, -0.036508, 0.939878, 0.000000、15.619156
74.940765, -35.114725, 112.900070, -0.036491, 0.939876, 0.000000、15.991117
74.940090, -35.114650, 112.900203, -0.036475, 0.939875, 0.000000、16.371612
74.939398, -35.114573, 112.900340, -0.036457, 0.939873, 0.000000、16.760820
74.938690, -35.114494, 112.900480, -0.036440, 0.939872, 0.000000、17.158924
74.937964, -35.114413, 112.900623, -0.036422, 0.939871, 0.000000、17.566109
74.937221, -35.114330, 112.900770, -0.036404, 0.939869, 0.000000、17.982564
74.936461, -35.114245, 112.900921, -0.036385, 0.939868, 0.000000、18.408482
74.935681, -35.114158, 112.901075, -0.036365, 0.939866, 0.000000、18.844057
74.934883, -35.114069, 112.901232, -0.036346, 0.939864, 0.000000、19.289487
74.934066, -35.113978, 112.901394, -0.036325, 0.939863, 0.000000、19.744973
74.933229, -35.113885, 112.901559, -0.036305, 0.939861, 0.000000、20.210719
74.932372, -35.113789, 112.901729, -0.036283, 0.939859, 0.000000、20.686932
74.931494, -35.113691, 112.901902, -0.036262, 0.939857, 0.000000、21.173822
74.930595, -35.113591, 112.902080, -0.036239, 0.939856, 0.000000、21.671601
74.929674, -35.113488, 112.902262, -0.036216, 0.939854, 0.000000、22.180486
74.928731, -35.113383, 112.902448, -0.036193, 0.939852, 0.000000、22.700694
74.927766, -35.113275, 112.902639, -0.036169, 0.939850, 0.000000、23.232448
74.926777, -35.113165, 112.902834, -0.036145, 0.939848, 0.000000、23.775972
74.925765, -35.113052, 112.903034, -0.036120, 0.939846, 0.000000、24.331493
74.924728, -35.112936, 112.903239, -0.036094, 0.939844, 0.000000、24.899241
74.923667, -35.112817, 112.903448, -0.036068, 0.939842, 0.000000、25.479448
74.922580, -35.112696, 112.903663, -0.036041, 0.939839, 0.000000、26.072350
74.921467, -35.112572, 112.903883, -0.036013, 0.939837, 0.000000、26.678184
74.920327, -35.112444, 112.904108, -0.035985, 0.939835, 0.000000、27.297191
74.919160, -35.112314, 112.904338, -0.035956, 0.939832, 0.000000、27.929612
74.917966, -35.112181, 112.904574, -0.035926, 0.939830, 0.000000、28.575694
74.916743, -35.112044, 112.904816, -0.035896, 0.939827, 0.000000、29.235682
74.915490, -35.111904, 112.905063, -0.035865, 0.939825, 0.000000、29.909827
74.914208, -35.111761, 112.905316, -0.035833, 0.939822, 0.000000、30.598378
74.912895, -35.111614, 112.905575, -0.035801, 0.939820, 0.000000、31.301590
74.911551, -35.111463, 112.905840, -0.035768, 0.939817, 0.000000、32.019717
74.910175, -35.111310, 112.906112, -0.035734, 0.939814, 0.000000、32.753015
74.908767, -35.111152, 112.906390, -0.035699, 0.939811, 0.000000、33.501741
74.907325, -35.110991, 112.906674, -0.035663, 0.939808, 0.000000、34.266156
74.905849, -35.110826, 112.906965, -0.035626, 0.939805, 0.000000、35.046518
74.904338, -35.110656, 112.907263, -0.035589, 0.939802, 0.000000、35.843090
74.902791, -35.110483, 112.907569, -0.035551, 0.939799, 0.000000、36.656132
74.901207, -35.110306, 112.907881, -0.035512, 0.939796, 0.000000、37.485906
74.899586, -35.110125, 112.908200, -0.035471, 0.939792, 0.000000、38.332676
